tick,time_of_day,time_window,open_orders,created_window_1,created_window_2,created_window_3,created_window_4,completed_window_1,completed_window_2,completed_window_3,completed_window_4
65100,18.08,3,12,423,2951,2403,1502,423,2945,2393,1513
65400,18.17,3,11,423,2951,2403,1502,423,2945,2393,1513
65700,18.25,3,9,423,2951,2403,1502,423,2945,2393,1513
66000,18.33,3,11,423,2951,2403,1502,423,2945,2393,1513
66300,18.42,3,11,423,2951,2403,1502,423,2945,2393,1513
66600,18.5,3,10,423,2951,2403,1502,423,2945,2393,1513
66900,18.58,3,8,423,2951,2403,1502,423,2945,2393,1513
67200,18.67,3,13,423,2951,2403,1502,423,2945,2393,1513
67500,18.75,3,5,423,2951,2403,1502,423,2945,2393,1513
67800,18.83,3,15,423,2951,2403,1502,423,2945,2393,1513
68100,18.92,3,7,423,2951,2403,1502,423,2945,2393,1513
68400,19,3,20,423,2951,2403,1502,423,2945,2393,1513
68700,19.08,3,13,423,2951,2403,1502,423,2945,2393,1513
69000,19.17,3,6,423,2951,2403,1502,423,2945,2393,1513
69300,19.25,3,9,423,2951,2403,1502,423,2945,2393,1513
69600,19.33,3,12,423,2951,2403,1502,423,2945,2393,1513
69900,19.42,3,19,423,2951,2403,1502,423,2945,2393,1513
70200,19.5,3,10,423,2951,2403,1502,423,2945,2393,1513
70500,19.58,3,11,423,2951,2403,1502,423,2945,2393,1513
70800,19.67,3,13,423,2951,2403,1502,423,2945,2393,1513
71100,19.75,3,8,423,2951,2403,1502,423,2945,2393,1513
71400,19.83,3,10,423,2951,2403,1502,423,2945,2393,1513
71700,19.92,3,12,423,2951,2403,1502,423,2945,2393,1513
72000,20,4,15,423,2951,2403,1502,423,2945,2393,1513
72300,20.08,4,6,423,2951,2403,1502,423,2945,2393,1513
72600,20.17,4,0,423,2951,2403,1502,423,2945,2393,1513
72900,20.25,4,4,423,2951,2403,1502,423,2945,2393,1513
73200,20.33,4,5,423,2951,2403,1502,423,2945,2393,1513
73500,20.42,4,3,423,2951,2403,1502,423,2945,2393,1513
73800,20.5,4,4,423,2951,2403,1502,423,2945,2393,1513
74100,20.58,4,3,423,2951,2403,1502,423,2945,2393,1513
74400,20.67,4,3,423,2951,2403,1502,423,2945,2393,1513
74700,20.75,4,5,423,2951,2403,1502,423,2945,2393,1513
75000,20.83,4,3,423,2951,2403,1502,423,2945,2393,1513
75300,20.92,4,3,423,2951,2403,1502,423,2945,2393,1513
75600,21,4,5,423,2951,2403,1502,423,2945,2393,1513
75900,21.08,4,4,423,2951,2403,1502,423,2945,2393,1513
76200,21.17,4,2,423,2951,2403,1502,423,2945,2393,1513
76500,21.25,4,7,423,2951,2403,1502,423,2945,2393,1513
76800,21.33,4,4,423,2951,2403,1502,423,2945,2393,1513
77100,21.42,4,4,423,2951,2403,1502,423,2945,2393,1513
77400,21.5,4,3,423,2951,2403,1502,423,2945,2393,1513
77700,21.58,4,0,423,2951,2403,1502,423,2945,2393,1513
78000,21.67,4,4,423,2951,2403,1502,423,2945,2393,1513
78300,21.75,4,2,423,2951,2403,1502,423,2945,2393,1513
78600,21.83,4,3,423,2951,2403,1502,423,2945,2393,1513
78900,21.92,4,5,423,2951,2403,1502,423,2945,2393,1513
79200,22,4,1,423,2951,2403,1502,423,2945,2393,1513
79500,22.08,4,5,423,2951,2403,1502,423,2945,2393,1513
79800,22.17,4,8,423,2951,2403,1502,423,2945,2393,1513
